GeneID,KEGG,KEGG_Description
Ghir_A05G024130,ko00010,Glycolysis / Gluconeogenesis
Ghir_A05G025470,ko00010,Glycolysis / Gluconeogenesis
Ghir_A05G033690,ko00010,Glycolysis / Gluconeogenesis
Ghir_A05G033850,ko00010,Glycolysis / Gluconeogenesis
Ghir_A05G034370,ko00010,Glycolysis / Gluconeogenesis
Ghir_A05G035300,ko00010,Glycolysis / Gluconeogenesis
Ghir_A05G036950,ko00010,Glycolysis / Gluconeogenesis
Ghir_A05G037730,ko00010,Glycolysis / Gluconeogenesis
Ghir_A05G039490,ko00010,Glycolysis / Gluconeogenesis
Ghir_A05G041780,ko00010,Glycolysis / Gluconeogenesis
Ghir_A06G000410,ko00010,Glycolysis / Gluconeogenesis
Ghir_A06G003230,ko00010,Glycolysis / Gluconeogenesis
Ghir_A06G003520,ko00010,Glycolysis / Gluconeogenesis
Ghir_A06G003540,ko00010,Glycolysis / Gluconeogenesis
Ghir_A06G003910,ko00010,Glycolysis / Gluconeogenesis
Ghir_A06G004770,ko00010,Glycolysis / Gluconeogenesis
Ghir_A06G007070,ko00010,Glycolysis / Gluconeogenesis
Ghir_A06G007240,ko00010,Glycolysis / Gluconeogenesis
Ghir_A06G009580,ko00010,Glycolysis / Gluconeogenesis
Ghir_A06G014930,ko00010,Glycolysis / Gluconeogenesis
Ghir_A06G015230,ko00010,Glycolysis / Gluconeogenesis
Ghir_A06G015530,ko00010,Glycolysis / Gluconeogenesis
Ghir_A06G016380,ko00010,Glycolysis / Gluconeogenesis
Ghir_A06G017400,ko00010,Glycolysis / Gluconeogenesis
Ghir_A06G019500,ko00010,Glycolysis / Gluconeogenesis
Ghir_A06G020640,ko00010,Glycolysis / Gluconeogenesis
Ghir_A06G021100,ko00010,Glycolysis / Gluconeogenesis
Ghir_A07G002520,ko00010,Glycolysis / Gluconeogenesis
Ghir_A07G003120,ko00010,Glycolysis / Gluconeogenesis
Ghir_A07G004450,ko00010,Glycolysis / Gluconeogenesis
Ghir_A07G004920,ko00010,Glycolysis / Gluconeogenesis
Ghir_A07G016360,ko00010,Glycolysis / Gluconeogenesis
Ghir_A07G021940,ko00010,Glycolysis / Gluconeogenesis
Ghir_A07G023600,ko00010,Glycolysis / Gluconeogenesis
Ghir_A07G024350,ko00010,Glycolysis / Gluconeogenesis
Ghir_A08G000100,ko00010,Glycolysis / Gluconeogenesis
Ghir_A08G000490,ko00010,Glycolysis / Gluconeogenesis
Ghir_A08G002460,ko00010,Glycolysis / Gluconeogenesis
Ghir_A08G008850,ko00010,Glycolysis / Gluconeogenesis
Ghir_A08G010050,ko00010,Glycolysis / Gluconeogenesis
Ghir_A08G010580,ko00010,Glycolysis / Gluconeogenesis
Ghir_A08G011520,ko00010,Glycolysis / Gluconeogenesis
Ghir_A08G015190,ko00010,Glycolysis / Gluconeogenesis
Ghir_A08G017930,ko00010,Glycolysis / Gluconeogenesis
Ghir_A08G019660,ko00010,Glycolysis / Gluconeogenesis
Ghir_A08G023710,ko00010,Glycolysis / Gluconeogenesis
Ghir_A09G002160,ko00010,Glycolysis / Gluconeogenesis
Ghir_A09G002170,ko00010,Glycolysis / Gluconeogenesis
Ghir_A09G002960,ko00010,Glycolysis / Gluconeogenesis
Ghir_A09G003700,ko00010,Glycolysis / Gluconeogenesis
Ghir_A09G007250,ko00010,Glycolysis / Gluconeogenesis
Ghir_A09G007280,ko00010,Glycolysis / Gluconeogenesis
Ghir_A09G008910,ko00010,Glycolysis / Gluconeogenesis
Ghir_A09G014570,ko00010,Glycolysis / Gluconeogenesis
Ghir_A09G015170,ko00010,Glycolysis / Gluconeogenesis
Ghir_A09G015630,ko00010,Glycolysis / Gluconeogenesis
Ghir_A09G016220,ko00010,Glycolysis / Gluconeogenesis
Ghir_A09G016230,ko00010,Glycolysis / Gluconeogenesis
Ghir_A09G017520,ko00010,Glycolysis / Gluconeogenesis
Ghir_A09G017530,ko00010,Glycolysis / Gluconeogenesis
Ghir_A09G023520,ko00010,Glycolysis / Gluconeogenesis
Ghir_A09G024950,ko00010,Glycolysis / Gluconeogenesis
Ghir_A10G000630,ko00010,Glycolysis / Gluconeogenesis
Ghir_A10G002800,ko00010,Glycolysis / Gluconeogenesis
Ghir_A10G004660,ko00010,Glycolysis / Gluconeogenesis
Ghir_A10G006230,ko00010,Glycolysis / Gluconeogenesis
Ghir_A10G011770,ko00010,Glycolysis / Gluconeogenesis
Ghir_A10G014360,ko00010,Glycolysis / Gluconeogenesis
Ghir_A10G017030,ko00010,Glycolysis / Gluconeogenesis
Ghir_A10G017440,ko00010,Glycolysis / Gluconeogenesis
Ghir_A10G020330,ko00010,Glycolysis / Gluconeogenesis
Ghir_A10G020350,ko00010,Glycolysis / Gluconeogenesis
Ghir_A10G021840,ko00010,Glycolysis / Gluconeogenesis
Ghir_A10G022110,ko00010,Glycolysis / Gluconeogenesis
Ghir_A10G022400,ko00010,Glycolysis / Gluconeogenesis
Ghir_A11G002980,ko00010,Glycolysis / Gluconeogenesis
Ghir_A11G003480,ko00010,Glycolysis / Gluconeogenesis
Ghir_A11G004090,ko00010,Glycolysis / Gluconeogenesis
Ghir_A11G005530,ko00010,Glycolysis / Gluconeogenesis
Ghir_A11G006250,ko00010,Glycolysis / Gluconeogenesis
Ghir_A11G007150,ko00010,Glycolysis / Gluconeogenesis
Ghir_A11G010120,ko00010,Glycolysis / Gluconeogenesis
Ghir_A11G010870,ko00010,Glycolysis / Gluconeogenesis
Ghir_A11G016280,ko00010,Glycolysis / Gluconeogenesis
Ghir_A11G019320,ko00010,Glycolysis / Gluconeogenesis
Ghir_A11G020130,ko00010,Glycolysis / Gluconeogenesis
Ghir_A11G022330,ko00010,Glycolysis / Gluconeogenesis
Ghir_A11G031920,ko00010,Glycolysis / Gluconeogenesis
Ghir_A11G035370,ko00010,Glycolysis / Gluconeogenesis
Ghir_A11G035450,ko00010,Glycolysis / Gluconeogenesis
Ghir_A12G001670,ko00010,Glycolysis / Gluconeogenesis
Ghir_A12G001850,ko00010,Glycolysis / Gluconeogenesis
Ghir_A12G006300,ko00010,Glycolysis / Gluconeogenesis
Ghir_A12G007370,ko00010,Glycolysis / Gluconeogenesis
Ghir_A12G009030,ko00010,Glycolysis / Gluconeogenesis
Ghir_A12G015220,ko00010,Glycolysis / Gluconeogenesis
Ghir_A12G015390,ko00010,Glycolysis / Gluconeogenesis
Ghir_A12G016620,ko00010,Glycolysis / Gluconeogenesis
Ghir_A12G023280,ko00010,Glycolysis / Gluconeogenesis
Ghir_A12G024710,ko00010,Glycolysis / Gluconeogenesis
Ghir_A12G026610,ko00010,Glycolysis / Gluconeogenesis
Ghir_A12G027570,ko00010,Glycolysis / Gluconeogenesis
Ghir_A12G028630,ko00010,Glycolysis / Gluconeogenesis
Ghir_A13G000500,ko00010,Glycolysis / Gluconeogenesis
Ghir_A13G002730,ko00010,Glycolysis / Gluconeogenesis
Ghir_A13G005370,ko00010,Glycolysis / Gluconeogenesis
Ghir_A13G006290,ko00010,Glycolysis / Gluconeogenesis
Ghir_A13G010620,ko00010,Glycolysis / Gluconeogenesis
Ghir_A13G013130,ko00010,Glycolysis / Gluconeogenesis
Ghir_A13G013570,ko00010,Glycolysis / Gluconeogenesis
Ghir_A13G020790,ko00010,Glycolysis / Gluconeogenesis
Ghir_A13G020910,ko00010,Glycolysis / Gluconeogenesis
Ghir_A13G022300,ko00010,Glycolysis / Gluconeogenesis
Ghir_A13G022980,ko00010,Glycolysis / Gluconeogenesis
Ghir_A13G023810,ko00010,Glycolysis / Gluconeogenesis
Ghir_D01G002140,ko00010,Glycolysis / Gluconeogenesis
Ghir_D01G009230,ko00010,Glycolysis / Gluconeogenesis
Ghir_D01G009240,ko00010,Glycolysis / Gluconeogenesis
Ghir_D01G010360,ko00010,Glycolysis / Gluconeogenesis
Ghir_D01G011370,ko00010,Glycolysis / Gluconeogenesis
Ghir_D01G014540,ko00010,Glycolysis / Gluconeogenesis
Ghir_D01G015590,ko00010,Glycolysis / Gluconeogenesis
Ghir_D01G017130,ko00010,Glycolysis / Gluconeogenesis
Ghir_D01G019800,ko00010,Glycolysis / Gluconeogenesis
Ghir_D01G021670,ko00010,Glycolysis / Gluconeogenesis
Ghir_D01G021730,ko00010,Glycolysis / Gluconeogenesis
Ghir_D01G021790,ko00010,Glycolysis / Gluconeogenesis
Ghir_D02G001210,ko00010,Glycolysis / Gluconeogenesis
Ghir_D02G005700,ko00010,Glycolysis / Gluconeogenesis
Ghir_D02G005710,ko00010,Glycolysis / Gluconeogenesis
Ghir_D02G006100,ko00010,Glycolysis / Gluconeogenesis
Ghir_D02G007220,ko00010,Glycolysis / Gluconeogenesis
Ghir_D02G007330,ko00010,Glycolysis / Gluconeogenesis
Ghir_D02G007350,ko00010,Glycolysis / Gluconeogenesis
Ghir_D02G007370,ko00010,Glycolysis / Gluconeogenesis
Ghir_D02G007380,ko00010,Glycolysis / Gluconeogenesis
Ghir_D02G008080,ko00010,Glycolysis / Gluconeogenesis
Ghir_D02G010390,ko00010,Glycolysis / Gluconeogenesis
Ghir_D02G011180,ko00010,Glycolysis / Gluconeogenesis
Ghir_D02G012510,ko00010,Glycolysis / Gluconeogenesis
Ghir_D02G013860,ko00010,Glycolysis / Gluconeogenesis
Ghir_D02G015800,ko00010,Glycolysis / Gluconeogenesis
Ghir_D02G016990,ko00010,Glycolysis / Gluconeogenesis
Ghir_D02G017380,ko00010,Glycolysis / Gluconeogenesis
Ghir_D02G017390,ko00010,Glycolysis / Gluconeogenesis
Ghir_D02G018070,ko00010,Glycolysis / Gluconeogenesis
Ghir_D02G019870,ko00010,Glycolysis / Gluconeogenesis
Ghir_D03G001130,ko00010,Glycolysis / Gluconeogenesis
Ghir_D03G003350,ko00010,Glycolysis / Gluconeogenesis
Ghir_D03G004190,ko00010,Glycolysis / Gluconeogenesis
Ghir_D03G004310,ko00010,Glycolysis / Gluconeogenesis
Ghir_D03G005550,ko00010,Glycolysis / Gluconeogenesis
Ghir_D03G006990,ko00010,Glycolysis / Gluconeogenesis
Ghir_D03G011050,ko00010,Glycolysis / Gluconeogenesis
Ghir_D03G013680,ko00010,Glycolysis / Gluconeogenesis
Ghir_D03G016110,ko00010,Glycolysis / Gluconeogenesis
Ghir_D03G017610,ko00010,Glycolysis / Gluconeogenesis
Ghir_D04G001140,ko00010,Glycolysis / Gluconeogenesis
Ghir_D04G003640,ko00010,Glycolysis / Gluconeogenesis
Ghir_D04G005320,ko00010,Glycolysis / Gluconeogenesis
Ghir_D04G006120,ko00010,Glycolysis / Gluconeogenesis
Ghir_D04G007490,ko00010,Glycolysis / Gluconeogenesis
Ghir_D04G008460,ko00010,Glycolysis / Gluconeogenesis
Ghir_D04G011350,ko00010,Glycolysis / Gluconeogenesis
Ghir_D04G011360,ko00010,Glycolysis / Gluconeogenesis
Ghir_D04G011430,ko00010,Glycolysis / Gluconeogenesis
Ghir_D04G011510,ko00010,Glycolysis / Gluconeogenesis
Ghir_D04G013440,ko00010,Glycolysis / Gluconeogenesis
Ghir_D04G013450,ko00010,Glycolysis / Gluconeogenesis
Ghir_D04G013470,ko00010,Glycolysis / Gluconeogenesis
Ghir_D04G013480,ko00010,Glycolysis / Gluconeogenesis
Ghir_D04G013690,ko00010,Glycolysis / Gluconeogenesis
Ghir_D04G017800,ko00010,Glycolysis / Gluconeogenesis
Ghir_D04G018360,ko00010,Glycolysis / Gluconeogenesis
Ghir_D04G020270,ko00010,Glycolysis / Gluconeogenesis
Ghir_D05G000530,ko00010,Glycolysis / Gluconeogenesis
Ghir_D05G002980,ko00010,Glycolysis / Gluconeogenesis
Ghir_D05G005480,ko00010,Glycolysis / Gluconeogenesis
Ghir_D05G006140,ko00010,Glycolysis / Gluconeogenesis
Ghir_D05G007240,ko00010,Glycolysis / Gluconeogenesis
Ghir_D05G009490,ko00010,Glycolysis / Gluconeogenesis
Ghir_D05G013870,ko00010,Glycolysis / Gluconeogenesis
Ghir_D05G014580,ko00010,Glycolysis / Gluconeogenesis
Ghir_D05G015060,ko00010,Glycolysis / Gluconeogenesis
Ghir_D05G015940,ko00010,Glycolysis / Gluconeogenesis
Ghir_D05G018090,ko00010,Glycolysis / Gluconeogenesis
Ghir_D05G019900,ko00010,Glycolysis / Gluconeogenesis
Ghir_D05G022440,ko00010,Glycolysis / Gluconeogenesis
Ghir_D05G023250,ko00010,Glycolysis / Gluconeogenesis
Ghir_D05G023990,ko00010,Glycolysis / Gluconeogenesis
Ghir_D05G025510,ko00010,Glycolysis / Gluconeogenesis
Ghir_D05G032960,ko00010,Glycolysis / Gluconeogenesis
Ghir_D05G033190,ko00010,Glycolysis / Gluconeogenesis
Ghir_D06G000230,ko00010,Glycolysis / Gluconeogenesis
Ghir_D06G003250,ko00010,Glycolysis / Gluconeogenesis
Ghir_D06G003560,ko00010,Glycolysis / Gluconeogenesis
Ghir_D06G004020,ko00010,Glycolysis / Gluconeogenesis
Ghir_D06G004820,ko00010,Glycolysis / Gluconeogenesis
Ghir_D06G007260,ko00010,Glycolysis / Gluconeogenesis
Ghir_D06G007400,ko00010,Glycolysis / Gluconeogenesis
Ghir_D06G009220,ko00010,Glycolysis / Gluconeogenesis
Ghir_D06G009880,ko00010,Glycolysis / Gluconeogenesis
Ghir_D06G009890,ko00010,Glycolysis / Gluconeogenesis
Ghir_D06G015640,ko00010,Glycolysis / Gluconeogenesis
Ghir_D06G015870,ko00010,Glycolysis / Gluconeogenesis
Ghir_D06G016110,ko00010,Glycolysis / Gluconeogenesis
Ghir_D06G016320,ko00010,Glycolysis / Gluconeogenesis
Ghir_D06G017240,ko00010,Glycolysis / Gluconeogenesis
Ghir_D06G018320,ko00010,Glycolysis / Gluconeogenesis
Ghir_D06G020640,ko00010,Glycolysis / Gluconeogenesis
Ghir_D06G021750,ko00010,Glycolysis / Gluconeogenesis
Ghir_D06G022150,ko00010,Glycolysis / Gluconeogenesis
Ghir_D07G002520,ko00010,Glycolysis / Gluconeogenesis
Ghir_D07G003120,ko00010,Glycolysis / Gluconeogenesis
Ghir_D07G004480,ko00010,Glycolysis / Gluconeogenesis
Ghir_D07G004960,ko00010,Glycolysis / Gluconeogenesis
Ghir_D07G016650,ko00010,Glycolysis / Gluconeogenesis
Ghir_D07G022030,ko00010,Glycolysis / Gluconeogenesis
Ghir_D07G023700,ko00010,Glycolysis / Gluconeogenesis
Ghir_D07G024400,ko00010,Glycolysis / Gluconeogenesis
Ghir_D08G000150,ko00010,Glycolysis / Gluconeogenesis
Ghir_D08G000530,ko00010,Glycolysis / Gluconeogenesis
Ghir_D08G002570,ko00010,Glycolysis / Gluconeogenesis
Ghir_D08G008940,ko00010,Glycolysis / Gluconeogenesis
Ghir_D08G010440,ko00010,Glycolysis / Gluconeogenesis
Ghir_D08G011130,ko00010,Glycolysis / Gluconeogenesis
Ghir_D08G011830,ko00010,Glycolysis / Gluconeogenesis
Ghir_D08G012670,ko00010,Glycolysis / Gluconeogenesis
Ghir_D08G014280,ko00010,Glycolysis / Gluconeogenesis
Ghir_D08G018830,ko00010,Glycolysis / Gluconeogenesis
Ghir_D08G020550,ko00010,Glycolysis / Gluconeogenesis
Ghir_D08G024630,ko00010,Glycolysis / Gluconeogenesis
Ghir_D09G002080,ko00010,Glycolysis / Gluconeogenesis
Ghir_D09G003620,ko00010,Glycolysis / Gluconeogenesis
Ghir_D09G006990,ko00010,Glycolysis / Gluconeogenesis
Ghir_D09G007020,ko00010,Glycolysis / Gluconeogenesis
Ghir_D09G008610,ko00010,Glycolysis / Gluconeogenesis
Ghir_D09G014570,ko00010,Glycolysis / Gluconeogenesis
Ghir_D09G014620,ko00010,Glycolysis / Gluconeogenesis
Ghir_D09G015100,ko00010,Glycolysis / Gluconeogenesis
Ghir_D09G015690,ko00010,Glycolysis / Gluconeogenesis
Ghir_D09G015700,ko00010,Glycolysis / Gluconeogenesis
Ghir_D09G016990,ko00010,Glycolysis / Gluconeogenesis
Ghir_D09G022770,ko00010,Glycolysis / Gluconeogenesis
Ghir_D09G024150,ko00010,Glycolysis / Gluconeogenesis
Ghir_D10G001380,ko00010,Glycolysis / Gluconeogenesis
Ghir_D10G003600,ko00010,Glycolysis / Gluconeogenesis
Ghir_D10G005450,ko00010,Glycolysis / Gluconeogenesis
Ghir_D10G007060,ko00010,Glycolysis / Gluconeogenesis
Ghir_D10G013180,ko00010,Glycolysis / Gluconeogenesis
Ghir_D10G015920,ko00010,Glycolysis / Gluconeogenesis
Ghir_D10G018480,ko00010,Glycolysis / Gluconeogenesis
Ghir_D10G018940,ko00010,Glycolysis / Gluconeogenesis
Ghir_D10G022110,ko00010,Glycolysis / Gluconeogenesis
Ghir_D10G022140,ko00010,Glycolysis / Gluconeogenesis
Ghir_D10G024160,ko00010,Glycolysis / Gluconeogenesis
Ghir_D10G024570,ko00010,Glycolysis / Gluconeogenesis
Ghir_D11G002990,ko00010,Glycolysis / Gluconeogenesis
Ghir_D11G003450,ko00010,Glycolysis / Gluconeogenesis
Ghir_D11G004030,ko00010,Glycolysis / Gluconeogenesis
Ghir_D11G005480,ko00010,Glycolysis / Gluconeogenesis
Ghir_D11G006190,ko00010,Glycolysis / Gluconeogenesis
Ghir_D11G007100,ko00010,Glycolysis / Gluconeogenesis
Ghir_D11G010080,ko00010,Glycolysis / Gluconeogenesis
Ghir_D11G010810,ko00010,Glycolysis / Gluconeogenesis
Ghir_D11G016350,ko00010,Glycolysis / Gluconeogenesis
Ghir_D11G019410,ko00010,Glycolysis / Gluconeogenesis
Ghir_D11G020250,ko00010,Glycolysis / Gluconeogenesis
Ghir_D11G022050,ko00010,Glycolysis / Gluconeogenesis
Ghir_D11G023350,ko00010,Glycolysis / Gluconeogenesis
Ghir_D11G032310,ko00010,Glycolysis / Gluconeogenesis
Ghir_D11G036230,ko00010,Glycolysis / Gluconeogenesis
Ghir_D11G036300,ko00010,Glycolysis / Gluconeogenesis
Ghir_D12G001730,ko00010,Glycolysis / Gluconeogenesis
Ghir_D12G001860,ko00010,Glycolysis / Gluconeogenesis
Ghir_D12G006290,ko00010,Glycolysis / Gluconeogenesis
Ghir_D12G007310,ko00010,Glycolysis / Gluconeogenesis
Ghir_D12G008460,ko00010,Glycolysis / Gluconeogenesis
Ghir_D12G012800,ko00010,Glycolysis / Gluconeogenesis
Ghir_D12G015450,ko00010,Glycolysis / Gluconeogenesis
Ghir_D12G015670,ko00010,Glycolysis / Gluconeogenesis
Ghir_D12G016870,ko00010,Glycolysis / Gluconeogenesis
Ghir_D12G020610,ko00010,Glycolysis / Gluconeogenesis
Ghir_D12G023240,ko00010,Glycolysis / Gluconeogenesis
Ghir_D12G024700,ko00010,Glycolysis / Gluconeogenesis
Ghir_D12G026690,ko00010,Glycolysis / Gluconeogenesis
Ghir_D12G027600,ko00010,Glycolysis / Gluconeogenesis
Ghir_D12G028780,ko00010,Glycolysis / Gluconeogenesis
Ghir_D13G000790,ko00010,Glycolysis / Gluconeogenesis
Ghir_D13G000810,ko00010,Glycolysis / Gluconeogenesis
Ghir_D13G001780,ko00010,Glycolysis / Gluconeogenesis
Ghir_D13G003030,ko00010,Glycolysis / Gluconeogenesis
Ghir_D13G003040,ko00010,Glycolysis / Gluconeogenesis
Ghir_D13G005430,ko00010,Glycolysis / Gluconeogenesis
Ghir_D13G006020,ko00010,Glycolysis / Gluconeogenesis
Ghir_D13G007020,ko00010,Glycolysis / Gluconeogenesis
Ghir_D13G011210,ko00010,Glycolysis / Gluconeogenesis
Ghir_D13G013840,ko00010,Glycolysis / Gluconeogenesis
Ghir_D13G014280,ko00010,Glycolysis / Gluconeogenesis
Ghir_D13G021610,ko00010,Glycolysis / Gluconeogenesis
Ghir_D13G021730,ko00010,Glycolysis / Gluconeogenesis
Ghir_D13G023030,ko00010,Glycolysis / Gluconeogenesis
Ghir_D13G023620,ko00010,Glycolysis / Gluconeogenesis
Ghir_D13G024550,ko00010,Glycolysis / Gluconeogenesis
Ghir_Scaffold1882G000250,ko00010,Glycolysis / Gluconeogenesis
Ghir_Scaffold1882G000260,ko00010,Glycolysis / Gluconeogenesis
Ghir_Scaffold2368G000010,ko00010,Glycolysis / Gluconeogenesis
Ghir_A01G002240,ko00020,Citrate cycle (TCA cycle)
Ghir_A01G002980,ko00020,Citrate cycle (TCA cycle)
Ghir_A01G005000,ko00020,Citrate cycle (TCA cycle)
Ghir_A01G017210,ko00020,Citrate cycle (TCA cycle)
Ghir_A02G004040,ko00020,Citrate cycle (TCA cycle)
Ghir_A02G005770,ko00020,Citrate cycle (TCA cycle)
Ghir_A02G016230,ko00020,Citrate cycle (TCA cycle)
Ghir_A02G016310,ko00020,Citrate cycle (TCA cycle)
Ghir_A02G018070,ko00020,Citrate cycle (TCA cycle)
Ghir_A02G018990,ko00020,Citrate cycle (TCA cycle)
Ghir_A03G007810,ko00020,Citrate cycle (TCA cycle)
Ghir_A03G016120,ko00020,Citrate cycle (TCA cycle)
Ghir_A03G016790,ko00020,Citrate cycle (TCA cycle)
Ghir_A03G018230,ko00020,Citrate cycle (TCA cycle)
Ghir_A03G023750,ko00020,Citrate cycle (TCA cycle)
Ghir_A04G001350,ko00020,Citrate cycle (TCA cycle)
Ghir_A04G001440,ko00020,Citrate cycle (TCA cycle)
Ghir_A04G001450,ko00020,Citrate cycle (TCA cycle)
Ghir_A04G003900,ko00020,Citrate cycle (TCA cycle)
Ghir_A04G013860,ko00020,Citrate cycle (TCA cycle)
Ghir_A04G014830,ko00020,Citrate cycle (TCA cycle)
Ghir_A05G014120,ko00020,Citrate cycle (TCA cycle)
Ghir_A05G015220,ko00020,Citrate cycle (TCA cycle)
Ghir_A05G016520,ko00020,Citrate cycle (TCA cycle)
Ghir_A05G025470,ko00020,Citrate cycle (TCA cycle)
Ghir_A05G031670,ko00020,Citrate cycle (TCA cycle)
Ghir_A05G031850,ko00020,Citrate cycle (TCA cycle)
Ghir_A05G033690,ko00020,Citrate cycle (TCA cycle)
Ghir_A05G035430,ko00020,Citrate cycle (TCA cycle)
Ghir_A05G036450,ko00020,Citrate cycle (TCA cycle)
Ghir_A05G036460,ko00020,Citrate cycle (TCA cycle)
Ghir_A06G006170,ko00020,Citrate cycle (TCA cycle)
Ghir_A06G014930,ko00020,Citrate cycle (TCA cycle)
Ghir_A06G016130,ko00020,Citrate cycle (TCA cycle)
Ghir_A06G020640,ko00020,Citrate cycle (TCA cycle)
Ghir_A06G021100,ko00020,Citrate cycle (TCA cycle)
Ghir_A07G007260,ko00020,Citrate cycle (TCA cycle)
Ghir_A07G013400,ko00020,Citrate cycle (TCA cycle)
Ghir_A07G016080,ko00020,Citrate cycle (TCA cycle)
Ghir_A07G016090,ko00020,Citrate cycle (TCA cycle)
Ghir_A07G024250,ko00020,Citrate cycle (TCA cycle)
